driverId,week,hours-logged,miles-logged
55,28,62,1600
29,49,71,3100
104,27,55,2800
97,41,52,800
93,11,68,1900
16,52,77,900
63,20,73,1200
86,10,59,3000
74,24,66,1400
59,42,74,2700
10,20,69,3300
59,51,55,2300
75,50,78,1300
21,45,69,1900
36,36,67,1600
42,33,70,3400
37,26,57,1300
74,41,65,1900
95,14,59,2300
99,30,70,2700
60,23,75,3400
83,34,58,0
58,47,61,1300
63,1,50,1400
82,17,51,3600
64,37,54,4000
50,14,74,100
33,52,57,0
103,41,52,2500
80,17,65,2900
78,31,62,1800
10,49,75,1900
32,49,61,3800
61,30,72,3700
75,16,68,3700
59,1,65,3000
102,6,71,1100
60,52,75,700
63,47,71,4000
33,4,79,2700
24,12,71,1700
48,50,52,2800
90,2,80,700
47,28,57,1100
10,44,77,1100
72,38,72,3000
13,17,70,2900
13,29,55,200
64,49,56,300
18,32,73,3800
73,45,59,3200
92,35,53,3600
74,1,50,900
67,52,70,600
10,11,61,2100
50,29,50,3900
61,39,71,3700
82,25,50,1000
10,11,52,3500
84,26,52,2600
42,7,70,3600
74,5,68,3800
89,1,69,2500
14,48,64,400
82,40,52,1700
50,48,74,1500
64,22,67,3800
81,46,66,0
68,48,70,400
53,17,53,2600
82,5,64,3000
21,20,73,2400
46,9,68,100
12,1,66,700
92,3,76,1800
42,47,51,2000
63,33,68,3200
55,19,74,900
40,8,72,0
82,10,71,1000
40,43,64,900
15,19,66,100
33,1,50,2700
79,27,53,3900
55,3,67,3500
43,27,72,500
60,23,66,1500
39,25,66,2300
79,5,64,3300
14,48,76,1700
37,34,78,1900
61,1,78,2600
76,4,52,1000
94,46,69,900
106,4,70,1300
92,25,52,3500
23,7,66,2500
54,18,77,1800
84,11,56,3200
44,2,50,2700
26,17,74,1600
90,46,70,3700
104,9,75,1800
34,52,67,2300
86,45,52,2500
72,2,69,3600
11,5,76,3600
86,30,68,200
82,23,51,100
64,2,62,300
16,12,55,3000
85,44,66,1300
22,44,52,1700
48,52,57,1800
51,16,65,2500
80,6,78,3800
98,33,68,1500
74,8,53,2700
94,32,65,3100
14,15,51,4000
88,23,64,3400
20,10,53,3500
89,6,69,2500
60,28,62,1100
72,28,66,3700
80,23,78,200
43,3,58,1500
90,39,65,300
100,35,73,1600
77,25,79,1400
97,33,55,300
91,37,67,3900
55,41,62,1600
37,26,61,700
106,27,75,1700
77,5,79,3000
19,13,72,2500
83,1,51,2100
37,52,71,2700
91,19,68,400
109,5,67,500
64,37,63,600
48,4,62,2200
66,22,65,1500
24,20,58,1000
104,49,57,400
38,5,57,3100
47,34,72,800
85,27,60,400
42,2,68,2700
75,36,52,500
31,37,76,1600
41,49,69,3400
87,44,76,1300
61,37,63,3000
46,51,62,3100
10,22,67,2500
91,8,70,500
44,48,51,200
16,27,66,900
67,36,61,300
36,20,57,1600
39,43,64,2600
18,50,75,900
28,49,51,3600
46,31,59,4000
88,29,74,100
94,30,75,2800
17,24,64,100
106,34,69,1100
98,50,73,3200
56,44,72,600
75,25,54,2200
66,27,74,2000
101,45,60,1800
18,21,77,2200
79,15,77,2700
68,6,78,3100
33,7,76,300
53,27,50,1700
92,7,61,700
104,12,55,1200
20,40,65,4000
62,41,66,2500
31,29,67,2800
102,38,66,2100
12,15,57,500
92,28,76,1600
73,3,58,600
20,43,60,100
64,52,65,3700
50,41,59,4000
101,1,51,2200
44,9,63,3300
12,34,54,400
91,37,72,2900
26,27,63,600
97,35,50,200
92,9,74,2900
84,14,55,1100
40,47,57,3500
97,1,73,300
24,29,65,3300
54,52,54,4000
99,52,61,4000
105,13,75,1700
100,31,61,2900
12,16,52,3900
58,17,63,2600
57,39,79,100
46,29,77,2900
101,17,70,2600
46,14,68,700
68,28,53,100
22,27,61,2600
21,29,57,200
96,11,57,1400
71,27,67,1300
103,8,78,600
66,38,67,3000
61,38,78,2600
69,52,66,2800
28,32,53,900
26,19,68,200
21,1,66,1600
19,46,78,3700
103,19,65,3900
34,45,61,500
89,20,58,1000
24,27,67,1400
70,46,54,400
32,47,66,2600
77,40,69,3600
95,26,54,2000
92,7,77,1000
71,45,71,900
86,19,56,2500
77,8,61,1100
13,20,64,3200
71,2,57,1700
83,42,59,4000
50,9,63,1100
13,21,57,3400
62,38,73,3700
48,11,80,2400
92,43,57,2500
43,42,52,1200
34,31,60,1900
21,33,73,1700
36,29,51,1200
69,29,71,2600
97,25,63,2400
78,50,62,3100
82,31,68,1200
42,42,73,2800
53,10,72,1800
51,47,63,3600
73,29,77,2100
18,10,59,2500
37,10,69,2100
81,3,50,3900
94,34,74,200
80,40,60,2300
36,24,75,800
21,7,64,4000
16,18,54,4000
60,32,64,1200
80,20,72,2100
65,35,71,3600
22,51,66,800
14,29,66,600
99,10,70,3300
40,11,77,3500
73,24,52,2600
49,52,76,300
50,35,65,100
10,30,52,1600
82,11,55,1000
46,9,51,3000
74,51,78,2200
35,42,59,300
12,6,60,3400
27,40,64,1800
70,35,64,800
16,29,65,1400
24,1,58,3700
57,22,74,3800
82,43,78,1300
100,7,50,2300
30,4,78,2300
85,13,61,1100
104,7,78,1700
20,14,51,700
96,39,72,900
86,4,68,3800
54,39,76,3400
39,34,70,1400
71,18,53,3600
21,44,60,2000
99,41,68,3400
29,13,66,500
25,18,67,2000
56,28,72,1600
50,15,70,3000
85,4,78,700
88,20,75,200
61,43,80,1400
56,4,50,3400
34,30,76,1100
102,34,65,800
97,25,59,2000
70,2,77,1000
104,10,75,2000
108,49,65,3000
95,28,56,1400
53,47,70,1300
88,27,52,900
98,33,58,300
104,33,67,4000
88,10,50,2700
31,38,52,1100
10,5,80,0
23,40,65,2600
46,40,62,2000
99,51,73,3500
50,44,60,2500
55,26,53,500
75,45,67,3900
42,50,74,3300
36,28,56,900
101,52,77,3100
87,52,51,2100
75,28,52,3100
37,44,67,2000
109,44,58,500
107,51,62,1800
30,48,59,800
103,11,70,2000
56,14,78,900
35,51,71,3000
23,10,50,400
86,6,55,600
48,10,62,2600
71,15,80,1000
76,41,58,700
45,12,54,2800
40,12,63,3500
52,7,53,300
40,38,65,1300
57,4,65,3900
77,35,65,1900
58,13,56,2700
42,17,60,3600
86,31,77,3800
40,9,66,2200
100,33,79,2900
21,43,72,600
68,40,76,1000
71,47,52,3000
41,28,60,1200
73,35,80,500
82,43,77,2200
41,29,74,1300
67,35,78,1000
49,6,54,2700
104,32,57,1600
34,35,68,1100
62,9,57,4000
81,14,66,4000
71,35,56,0
21,39,72,1000
36,13,56,3600
99,42,79,1000
16,24,52,1400
75,42,68,2500
94,3,60,2700
91,32,75,2300
13,50,64,500
15,37,63,1300
105,46,57,400
59,27,55,0
47,23,53,3100
94,17,80,4000
13,20,77,1700
37,40,58,1300
73,8,75,3100
71,41,68,1600
21,52,73,2100
52,43,73,1300
19,13,60,1100
29,3,63,3000
46,22,59,1400
47,38,66,3100
